id,perc_of_compensation_paid,age_in_days,age_id,age_group,income,count_3-6_months_late,count_6-12_months_late,count_more_than_12_months_late,cause
22069,0.586,17892.0,3,Зрелый,270060.0,0,0,0,сломала ногу в отпуске
63586,1.0,14244.0,3,Зрелый,257560.0,0,0,0,кража автомобиля
63069,1.0,21542.0,4,Пожилой,150060.0,0,0,0,повреждение авто
66451,0.229,18262.0,3,Зрелый,441030.0,0,0,0,сломала ногу в отпуске
5163,0.001,25558.0,4,Пожилой,118030.0,0,0,0,травма в отпуске
6542,1.0,21541.0,4,Пожилой,313070.0,0,0,0,проникли в жилье
79333,0.118,28118.0,4,Пожилой,200080.0,0,0,0,сгорела квартира
8752,0.017,17892.0,3,Зрелый,212250.0,0,0,0,проникли в жилье
37396,1.0,28840.0,4,Пожилой,297570.0,0,0,0,несчастный случай на отдыхе
27502,0.638,17529.0,3,Зрелый,232530.0,0,0,0,затопило дом
65597,0.092,23001.0,4,Пожилой,67620.0,0,0,0,сломала ногу в отпуске
50178,1.0,15707.0,3,Зрелый,168620.0,0,0,0,повреждение авто
51709,0.855,18623.0,3,Зрелый,450110.0,1,0,0,сгорела квартира
32294,1.0,19355.0,3,Зрелый,175560.0,0,0,0,повреждение автомобиля
76360,1.0,10598.0,2,Молодой,126150.0,0,0,0,кража авто
51635,1.0,25200.0,4,Пожилой,148070.0,0,0,0,сотрясение во время отдыха
103391,0.979,9869.0,2,Молодой,60090.0,2,3,1,повреждение авто
59747,0.7979999999999999,11320.0,2,Молодой,32470.0,2,0,0,кража автомобиля
21498,1.0,13883.0,3,Зрелый,237570.0,0,0,0,кража авто
18771,0.0,13882.0,3,Зрелый,74460.0,0,0,0,дтп
34501,0.56,11694.0,2,Молодой,144110.0,0,0,0,проникли в жилье
77807,0.17,16074.0,3,Зрелый,123560.0,0,0,0,дтп
26350,0.918,15706.0,3,Зрелый,45140.0,0,0,0,травма во время отдыха
105355,0.081,14606.0,3,Зрелый,208220.0,2,0,0,обокрали дачу
5469,1.0,20446.0,4,Пожилой,93640.0,0,0,0,сгорел дом
23826,1.0,12058.0,2,Молодой,270080.0,2,1,1,поломка авто
9399,0.0,16796.0,3,Зрелый,144770.0,0,0,0,упало дерево на автомобиль
44862,0.435,9136.0,2,Молодой,75060.0,0,0,0,повреждение автомобиля
104114,0.116,15700.0,3,Зрелый,280690.0,0,0,0,взломали квартиру
20407,1.0,21906.0,4,Пожилой,102070.0,0,0,0,сгорела квартира
7541,0.006,27380.0,4,Пожилой,150070.0,0,0,0,дтп
72892,0.108,29206.0,4,Пожилой,150110.0,1,0,0,травма во время отдыха
81994,0.043,16436.0,3,Зрелый,700030.0,0,0,0,сломала ногу в отпуске
111007,0.07,29943.0,4,Пожилой,110620.0,0,0,0,травма в отпуске
83350,1.0,21185.0,4,Пожилой,185350.0,0,0,0,повреждение авто
55682,0.242,18991.0,3,Зрелый,190550.0,0,0,0,украли багаж в отпуске
26680,0.0,18256.0,3,Зрелый,510070.0,0,0,0,упало дерево на автомобиль
109949,1.0,23367.0,4,Пожилой,92630.0,0,0,0,замкнуло электричество дома
12482,0.019,20085.0,4,Пожилой,159760.0,0,0,0,несчастный случай в отпуске
108210,0.0,21905.0,4,Пожилой,109320.0,0,0,0,кража в квартире
35717,0.006999999999999999,31762.0,4,Пожилой,165040.0,0,0,0,сгорела квартира
74030,1.0,22637.0,4,Пожилой,238610.0,0,0,0,украли авто
18407,1.0,23004.0,4,Пожилой,166810.0,2,0,0,украли багаж в отпуске
113337,0.65,25920.0,4,Пожилой,91550.0,1,0,0,упало дерево на автомобиль
81673,0.416,26660.0,4,Пожилой,120030.0,0,0,0,кража в квартире
80808,0.015,21905.0,4,Пожилой,165050.0,0,0,0,взломали квартиру
87300,0.093,18261.0,3,Зрелый,96090.0,0,0,0,поломка авто
113610,1.0,26659.0,4,Пожилой,60130.0,0,0,0,кража авто
68221,0.213,19716.0,3,Зрелый,570120.0,0,0,0,кража автомобиля
32307,1.0,23740.0,4,Пожилой,228520.0,0,0,0,повреждение автомобиля
53974,0.294,16068.0,3,Зрелый,156080.0,0,0,0,повреждение авто
80255,0.042,17530.0,3,Зрелый,150100.0,0,0,0,кража авто
37547,0.281,16430.0,3,Зрелый,187530.0,0,0,0,упало дерево на автомобиль
62782,0.08900000000000001,18255.0,3,Зрелый,204910.0,0,0,0,сломала ногу в отпуске
60206,1.0,20083.0,4,Пожилой,212780.0,0,0,0,врезались в автомобиль
109533,0.049,24099.0,4,Пожилой,120030.0,0,0,0,обокрали дачу
31952,0.996,24826.0,4,Пожилой,136300.0,0,1,2,сотрясение во время отдыха
31266,0.255,11692.0,2,Молодой,72900.0,0,0,0,повреждение автомобиля
49517,0.855,22642.0,4,Пожилой,105130.0,0,0,0,украли багаж в отпуске
52843,0.012,22639.0,4,Пожилой,215130.0,1,0,0,сломала ногу в отпуске
107949,0.328,9864.0,2,Молодой,92610.0,0,0,0,поломка авто
50424,1.0,17532.0,3,Зрелый,312340.0,0,0,0,кража авто
28080,0.027000000000000003,10961.0,2,Молодой,87570.0,0,0,0,повреждение автомобиля
63289,0.988,22271.0,4,Пожилой,135130.0,2,0,0,травма во время отдыха
59792,1.0,16805.0,3,Зрелый,-229660.0,1,0,0,хищение автомобиля (каско)
8600,0.006999999999999999,12418.0,2,Молодой,-103610.0,0,0,0,проникли в жилье
30415,0.123,21184.0,4,Пожилой,-282050.0,0,0,0,травма во время отдыха
92033,0.096,18993.0,3,Зрелый,112650.0,0,0,0,взломали квартиру
51339,0.073,14608.0,3,Зрелый,-66060.0,1,0,0,кража в квартире
104556,0.012,20816.0,4,Пожилой,300140.0,0,0,0,замкнуло электричество дома
67550,0.046,17170.0,3,Зрелый,-27870.0,0,0,0,замкнуло электричество дома
71744,1.0,12784.0,3,Зрелый,-158390.0,2,0,0,поломка авто
49589,0.464,18994.0,3,Зрелый,-189090.0,0,0,0,дтп
17018,0.605,14606.0,3,Зрелый,-335590.0,0,0,0,сгорела квартира
34936,1.0,13151.0,3,Зрелый,-94810.0,0,0,1,повреждение автомобиля
110058,0.001,26655.0,4,Пожилой,-171970.0,0,0,0,сломала ногу в отпуске
67668,0.115,18263.0,3,ЗРЕЛЫЙ,177030.0,0,0,0,проникли в жилье
75859,0.032,13512.0,3,Зрелый,-195050.0,0,0,0,замкнуло электричество дома
38878,0.5489999999999999,18264.0,3,Зрелый,-407550.0,0,0,0,кража авто
107894,0.062,19358.0,3,Зрелый,-248340.0,0,0,0,сгорел дом
63438,0.113,20814.0,4,ПОЖИЛОЙ,-375100.0,0,0,0,взломали квартиру
75713,0.063,26286.0,4,Пожилой,-130580.0,0,0,0,сгорел дом
15713,0.046,21913.0,4,Пожилой,330120.0,1,0,0,несчастный случай в отпуске
34402,0.58,21548.0,4,Пожилой,390150.0,0,0,0,замкнуло электричество дома
40084,0.019,18986.0,3,Зрелый,250030.0,0,0,0,несчастный случай в отпуске
64940,0.555,23002.0,4,Пожилой,120130.0,0,0,0,травма во время отдыха
66279,0.023,21542.0,4,Пожилой,207550.0,0,0,0,замкнуло электричество дома
77818,1.0,19356.0,3,Зрелый,600140.0,1,0,0,врезались в автомобиль
63889,0.14800000000000002,18988.0,3,Зрелый,423060.0,0,0,0,сгорела квартира
48861,0.015,19357.0,3,Зрелый,150650.0,0,0,0,травма в отпуске
26520,0.041,15337.0,3,Зрелый,312120.0,0,0,0,сотрясение во время отдыха
66559,0.004,29211.0,4,Пожилой,186570.0,0,0,0,хищение автомобиля (каско)
24068,0.8029999999999999,18626.0,3,Зрелый,118880.0,0,1,1,обокрали дачу
20211,0.454,16796.0,3,Зрелый,918830.0,0,0,0,кража в квартире
86715,0.0,19351.0,3,Зрелый,95070.0,0,0,0,дтп
68601,1.0,26295.0,4,Пожилой,45170.0,0,0,0,украли авто
95696,0.389,15338.0,3,Зрелый,187620.0,0,0,0,сгорел дом
60049,0.018000000000000002,16075.0,3,Зрелый,165140.0,0,0,0,сотрясение во время отдыха
7620,0.359,16431.0,3,Зрелый,115510.0,1,0,0,несчастный случай в отпуске
42468,0.0,9866.0,2,молодой,62520.0,0,0,0,замкнуло электричество дома
106475,1.0,12785.0,3,Зрелый,225050.0,0,0,0,врезались в автомобиль
43145,1.0,18985.0,3,Зрелый,422810.0,0,0,0,врезались в автомобиль
102597,0.0,16431.0,3,Зрелый,81030.0,0,0,0,кража в квартире
93680,0.006,13153.0,3,Зрелый,203430.0,1,0,0,сломала ногу в отпуске
37065,0.965,14609.0,3,Зрелый,201090.0,0,0,0,поломка авто
49472,0.002,15706.0,3,Зрелый,190390.0,0,0,0,упало дерево на автомобиль
45364,0.853,22276.0,4,Пожилой,675150.0,4,0,0,поломка авто
112287,0.225,10955.0,2,Молодой,180140.0,0,0,0,несчастный случай в отпуске
90044,0.529,19718.0,3,Зрелый,90140.0,0,0,0,повреждение авто
40999,0.0,8768.0,2,Молодой,62590.0,0,0,0,травма в отпуске
93637,0.024,25924.0,4,Пожилой,162110.0,0,0,0,потоп в квартире
47689,0.003,19353.0,3,Зрелый,270100.0,0,0,0,упало дерево на автомобиль
15068,0.0,16070.0,3,Зрелый,249070.0,0,0,0,обокрали дачу
67323,0.005,28843.0,4,Пожилой,199880.0,0,0,0,кража в квартире
285,0.0,13519.0,3,Зрелый,37610.0,0,0,0,сломала ногу в отпуске
76543,0.099,15706.0,3,Зрелый,335030.0,0,0,0,сотрясение во время отдыха
52901,0.266,17527.0,3,Зрелый,377630.0,4,0,1,сломала ногу в отпуске
10299,0.0,11329.0,2,Молодой,105050.0,0,0,0,несчастный случай на отдыхе
8199,0.7709999999999999,16803.0,3,Зрелый,195040.0,2,1,1,несчастный случай в отпуске
10875,0.322,11686.0,2,Молодой,125420.0,1,0,2,затопило дом
36812,1.0,15707.0,3,Зрелый,361040.0,0,0,0,поломка авто
110,0.799,23366.0,4,Пожилой,214940.0,2,0,0,взломали квартиру
25682,1.0,10234.0,2,Молодой,36100.0,0,0,0,сотрясение во время отдыха
7331,0.906,9138.0,2,Молодой,130090.0,0,0,0,замкнуло электричество дома
76947,0.488,10235.0,2,Молодой,99050.0,0,0,0,сломала ногу в отпуске
28303,0.057,17528.0,3,Зрелый,155050.0,1,0,0,замкнуло электричество дома
32212,0.557,15341.0,3,Зрелый,243100.0,1,0,0,травма во время отдыха
18692,1.0,18628.0,3,Зрелый,366580.0,0,0,0,кража авто
75865,1.0,22636.0,4,Пожилой,375060.0,0,0,0,кража авто
74466,0.589,20446.0,4,Пожилой,185060.0,0,0,0,дтп
81378,0.348,13147.0,3,Зрелый,162540.0,0,0,0,проникли в жилье
85492,1.0,10228.0,2,Молодой,48140.0,0,0,0,кража в квартире
67992,0.7559999999999999,15703.0,3,Зрелый,135040.0,0,0,0,несчастный случай на отдыхе
12527,0.049,24465.0,4,Пожилой,267540.0,0,0,0,повреждение автомобиля
48212,0.91,21905.0,4,Пожилой,92180.0,0,0,0,хищение автомобиля (каско)
61180,1.0,24462.0,4,Пожилой,76210.0,0,0,0,поломка авто
56340,1.0,10961.0,2,Молодой,138770.0,0,0,0,поломка авто
64227,0.043,28479.0,4,Пожилой,192130.0,0,0,0,травма во время отдыха
35539,0.139,21185.0,4,Пожилой,53450.0,0,0,0,украли авто
9233,0.085,14244.0,3,Зрелый,79730.0,0,0,0,несчастный случай на отдыхе
97645,1.0,16799.0,3,Зрелый,60030.0,0,0,0,сгорела квартира
106742,0.222,17531.0,3,Зрелый,203040.0,0,2,1,замкнуло электричество дома
84955,1.0,25559.0,4,Пожилой,183090.0,1,0,0,хищение автомобиля (каско)
36443,0.046,20815.0,4,Пожилой,350190.0,1,0,0,травма во время отдыха
2970,0.908,17531.0,3,Зрелый,108080.0,1,1,0,обокрали дачу
48583,0.454,15705.0,3,Зрелый,392110.0,0,0,0,врезались в автомобиль
67490,1.0,10232.0,2,Молодой,162530.0,0,0,0,хищение автомобиля (каско)
45242,0.23,13512.0,3,Зрелый,150100.0,0,0,0,сгорела квартира
83608,0.0,16440.0,3,Зрелый,198100.0,0,0,0,несчастный случай в отпуске
86807,0.0,16804.0,3,Зрелый,291090.0,0,0,0,несчастный случай на отдыхе
92793,0.094,24103.0,4,Пожилой,365130.0,0,0,0,травма в отпуске
32458,0.016,20814.0,4,Пожилой,105730.0,0,0,0,упало дерево на автомобиль
18258,1.0,24467.0,4,Пожилой,232640.0,0,0,0,кража авто
93246,0.011,25558.0,4,Пожилой,197910.0,1,0,0,сгорела квартира
29747,0.097,13883.0,3,Зрелый,156070.0,2,0,0,сотрясение во время отдыха
44469,0.24,12788.0,3,Зрелый,195080.0,0,0,0,дтп
18998,0.124,23371.0,4,Пожилой,331110.0,0,0,0,сломала ногу в отпуске
100686,0.73,21183.0,4,Пожилой,210070.0,0,0,0,сотрясение во время отдыха
21670,0.0,8035.0,2,Молодой,82410.0,0,0,0,кража в квартире
106701,0.031,22279.0,4,Пожилой,103590.0,0,0,0,травма во время отдыха
21844,0.013,23367.0,4,Пожилой,192130.0,0,0,0,затопило дом
61174,0.016,31767.0,4,Пожилой,46100.0,0,0,0,несчастный случай на отдыхе
933,1.0,20813.0,4,Пожилой,937590.0,0,0,0,кража автомобиля
563,1.0,32497.0,4,Пожилой,315100.0,0,0,0,сгорел дом
90185,0.13,9861.0,2,Молодой,75070.0,0,0,0,украли багаж в отпуске
29080,0.43,14243.0,3,Зрелый,240120.0,0,0,0,затопило дом
32967,1.0,13514.0,3,Зрелый,187210.0,0,0,0,повреждение автомобиля
110889,0.033,13876.0,3,Зрелый,114110.0,0,0,0,замкнуло электричество дома
54059,0.6920000000000001,14246.0,3,Зрелый,449630.0,0,0,0,дтп
86664,0.063,17900.0,3,Зрелый,315150.0,0,0,0,травма в отпуске
72104,1.0,27020.0,4,Пожилой,188080.0,0,0,0,затопило дом
82239,0.133,23370.0,4,Пожилой,195140.0,0,0,0,повреждение авто
59755,1.0,12415.0,2,Молодой,220390.0,0,0,0,упало дерево на автомобиль
1785,0.71,15701.0,3,Зрелый,110070.0,0,0,0,повреждение авто
36377,1.0,21912.0,4,Пожилой,99090.0,0,0,0,кража автомобиля
73334,1.0,11685.0,2,Молодой,221460.0,0,1,0,украли авто
26731,0.0,12416.0,2,Молодой,330060.0,0,0,0,взломали квартиру
78548,0.006,20087.0,4,Пожилой,336090.0,0,0,0,дтп
54472,1.0,24468.0,4,Пожилой,391770.0,0,0,0,травма в отпуске
70631,0.0,9497.0,2,Молодой,60060.0,0,0,0,несчастный случай на отдыхе
44942,0.9,20084.0,4,Пожилой,176180.0,2,0,0,проникли в жилье
54130,0.002,22642.0,4,Пожилой,78030.0,0,0,0,повреждение автомобиля
11938,0.0,30674.0,4,Пожилой,75150.0,0,0,0,обокрали дачу
15837,1.0,28842.0,4,Пожилой,132830.0,0,0,0,замкнуло электричество дома
64537,0.418,18265.0,3,Зрелый,138540.0,0,0,0,врезались в автомобиль
65402,0.006,21550.0,4,Пожилой,126150.0,0,0,0,повреждение авто
18680,0.0,20090.0,4,Пожилой,364720.0,0,0,0,взломали квартиру
69375,0.244,23367.0,4,Пожилой,29460.0,0,0,0,хищение автомобиля (каско)
71042,1.0,21910.0,4,Пожилой,215060.0,0,0,0,врезались в автомобиль
69164,0.463,16803.0,3,Зрелый,378140.0,0,0,0,несчастный случай в отпуске
19288,0.031,17164.0,3,Зрелый,257820.0,0,0,0,врезались в автомобиль
17115,1.0,19719.0,3,Зрелый,339140.0,0,0,0,украли авто
105949,1.0,15339.0,3,Зрелый,137620.0,0,0,0,кража автомобиля
55257,1.0,22642.0,4,Пожилой,105120.0,0,0,0,упало дерево на автомобиль
6583,0.04,30302.0,4,Пожилой,75480.0,0,0,0,кража в квартире
